EtOH    NADH/NAD+   NADPH/NADP+ AcCoA   ATP/ADP AMP F16BP   G1P G6P PEP PYR
C00469  C00004  C00005  C00024  C00002  C00020  C00354  C00103  C00092  C00074  C00022
0.010201867 0.3 1   1   1   1   1   1   1   1   1
0.097677447 0.35    1.746505226 1   1.146118722 1.410147992 1.163987138 2.932926829 2.018518519 1.393767705 1.032926182
0.204254396 0.45    2.329194952 1   0.854904632 1.418604651 1.75562701  3.455284553 3.453703704 1.660056657 1.300584174
0.335142175 0.5 3.528530102 1   1.136775362 1.725158562 1.313504823 4.227642276 5.527777778 2.422096317 1.439723845
0.465812893 0.55    3.177162119 1   0.888810198 2.076109937 3.450160772 4.93902439  8.268518519 3.385269122 1.305894849
0.559149121 0.9 1.420931056 1   0.992360407 2.133192389 5.384244373 4.857723577 9.861111111 3.937677054 3.959638874
0.732580855 0.95    11.14911455 9.599447514 0.571753986 2.598308668 14.40514469 5.426829268 14  5.555240793 7.460435475
0.869980465 1.3 22.08964735 12.01657459 0.438964673 2.101479915 15.51446945 4.634146342 14.55555556 4.753541077 6.915560276
1.04579987  1.4 48.06011299 75.89779006 0.379957614 2.594080338 57.76527331 4.756097561 21.66666667 7.280453258 5.433351036
1.195354895 1.75    79.85493343 56.35359116 1.198981879 3.704016913 73.47266881 4.93902439  26.2962963  8.668555241 4.241635688
